,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
118,Random Forest Classifier,structural,0.804040404040404,0.295799816539656,0.361758109040718,0.804040404040404,0.296341522862435,0.804040404040404,dev,subtaskaenglish,0.890494296577947,0,0.294871794871795,0
119,Random Forest Classifier,structural,0.804597701149425,0.274171693329836,0.292176209005003,0.804597701149425,0.264223077408365,0.804597701149425,test,subtaskaenglish,0.891603053435114,0,0.165289256198347,0
120,Random Forest Classifier,structural,0.263157894736842,0.293372319688109,0.298654244306418,0.263157894736842,0.256364550482198,0.263157894736842,dev,subtaskbenglish,0.230769230769231,0.303030303030303,0.235294117647059,
121,Random Forest Classifier,structural,0.382716049382716,0.401881720430108,0.362554112554113,0.382716049382716,0.360924758301807,0.382716049382716,test,subtaskbenglish,0.295081967213115,0.48,0.307692307692308,
122,Linear SVM,sentiment,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
123,Linear SVM,sentiment,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
124,Linear SVM,sentiment,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
125,Linear SVM,sentiment,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
126,RBF SVM,sentiment,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
127,RBF SVM,sentiment,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
128,RBF SVM,sentiment,0.131578947368421,0.138791423001949,0.192230576441103,0.131578947368421,0.130518074296185,0.131578947368421,dev,subtaskbenglish,0.166666666666667,0.137931034482759,0.086956521739131,
129,RBF SVM,sentiment,0.296296296296296,0.370967741935484,0.193354264782836,0.296296296296296,0.250925925925926,0.296296296296296,test,subtaskbenglish,0,0.475,0.277777777777778,
130,Linear SVM (squared loss),sentiment,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
131,Linear SVM (squared loss),sentiment,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
132,Linear SVM (squared loss),sentiment,0.263157894736842,0.305458089668616,0.353046594982079,0.263157894736842,0.227347708259691,0.263157894736842,dev,subtaskbenglish,0.173913043478261,0.341463414634146,0.166666666666667,
133,Linear SVM (squared loss),sentiment,0.432098765432099,0.356989247311828,0.316239316239316,0.432098765432099,0.284469696969697,0.432098765432099,test,subtaskbenglish,0.290909090909091,0.5625,0,
